onset,duration,description
2009-08-12 16:15:00.000,4.2,T0
2009-08-12 16:15:04.200,4.1,T2
2009-08-12 16:15:08.300,4.2,T0
2009-08-12 16:15:12.500,4.1,T1
2009-08-12 16:15:16.600,4.2,T0
2009-08-12 16:15:20.800,4.1,T1
2009-08-12 16:15:24.900,4.2,T0
2009-08-12 16:15:29.100,4.1,T2
2009-08-12 16:15:33.200,4.2,T0
2009-08-12 16:15:37.400,4.1,T2
2009-08-12 16:15:41.500,4.2,T0
2009-08-12 16:15:45.700,4.1,T1
2009-08-12 16:15:49.800,4.2,T0
2009-08-12 16:15:54.000,4.1,T2
2009-08-12 16:15:58.100,4.2,T0
2009-08-12 16:16:02.300,4.1,T1
2009-08-12 16:16:06.400,4.2,T0
2009-08-12 16:16:10.600,4.1,T2
2009-08-12 16:16:14.700,4.2,T0
2009-08-12 16:16:18.900,4.1,T1
2009-08-12 16:16:23.000,4.2,T0
2009-08-12 16:16:27.200,4.1,T1
2009-08-12 16:16:31.300,4.2,T0
2009-08-12 16:16:35.500,4.1,T2
2009-08-12 16:16:39.600,4.2,T0
2009-08-12 16:16:43.800,4.1,T1
2009-08-12 16:16:47.900,4.2,T0
2009-08-12 16:16:52.100,4.1,T2
2009-08-12 16:16:56.200,4.2,T0
2009-08-12 16:17:00.400,4.1,T1
